RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
740,Black-backed Puffback,Dryoscopus cubla,26,17.5,78.8,1,Pair,invertebrates,0,0,1,0,0,3,8,2.7,22.2,15.9,13,18,21,0,0,0,0,,,,
741,Brubru,Nilaus afer,24,14,86,1,Pair,invertebrates,0,0,1,0,0,2.5,9,2,,,19,21.8,56,0,0,0,0,8.5,,,
743,Brown-crowned Tchagra,Tchagra australis,33,17.5,77.5,1,Pair,invertebrates,1,0,1,0,0,0.2,3.6,2.4,21.7,16.3,15,13.8,150,0,0,0,0,7.5,,,
744,Black-crowned Tchagra,Tchagra senegalus,53,21,86,1,Pair,invertebrates,1,0,1,0,0,0.6,5.4,2.5,24.6,18,15.1,14,,0,0,0,0,,6,,
747,Gorgeous Bushshrike,Telophorus viridis,37,19,77.8,1,Pair,invertebrates,1,0,0,0,0,0.6,1.5,2,23.3,16.9,,,120,0,0,0,0,6.5,,,
748,Orange-breasted Bushshrike,Telophorus sulfureopectus,27,19,90.7,1,Pair,invertebrates,0,0,1,0,0,1.8,10,2,22,16.1,13.5,12,,0,0,0,0,7.5,,1,
750,Olive Bushshrike,Telophorus olivaceus,33,19,83,1,Pair,invertebrates,1,0,1,0,0,0.6,6,1.6,21.6,15.9,18,16.5,,0,0,0,0,9.4,,0,
751,Grey-headed Bushshrike,Malaconotus blanchoti,77,26,114,1,Pair,invertebrates,0,0,1,0,0,1.2,12,2.9,29.4,20.6,18,21.7,,1,0,0,1,4,,0,
753,White-crested Helmetshrike,Prionops plumatus,34,18,109,1,Coop,invertebrates,0,0,1,0,0,2,10,3.9,20.6,16,17,20,150,0,0,0,0,2.8,0.83,1,
754,Retz's Helmetshrike,Prionops retzii,44,19.5,126,1,Coop,invertebrates,0,0,1,0,0,3,20,3.4,23.7,17.1,18.5,20,210,0,0,0,0,,0.6,,
758,Common Myna,Acridotheres tristis,114,23,134,1,Pair,invertebrates,0,1,0,0,0,, ,3.9,29.2,21.5,15.5,28.5,21,0,0,0,0,,,,
761,Violet-backed Starling,Cinnyricinclus leucogaster,45,18,100,1,Pair,fruit,0,1,0,0,0,2,6,2.6,24.5,17.4,13,19,,0,0,0,0,,,1,
764,Cape Glossy Starling,Lamprotornis nitens,90,23,128,1,Coop,fruit,0,1,0,0,0,2,,2.8,28.1,20, ,20,7,0,0,0,0,,,,
768,Black-bellied Starling,Lamprotornis corruscus,50,18,105,1,Pair,fruit,0,1,0,0,0,2.5,6,2.9,25.7,19,,,,0,0,0,0,0,,,0
769,Red-winged Starling,Onychognathus morio,140,30,143,1,Pair,fruit,0,0,0,0,0,2,,3,33.8,23.2,13.5,25,42,1,0,0,0,7.5,,1,
772,Red-billed Oxpecker,Buphagus erythrorhynchus,50,20,115.8,1,Coop,invertebrates,0,1,0,0,0,1,15,2.8,24,17.2,12.5,30,90,0,0,0,0,,,1,
779,Marico Sunbird,Cinnyris mariquensis,11,13.5,64.5,1,Pair,nectar,1,0,1,0,0,1.8,8,1.9,18.4,12.1,14,,,0,0,0,0,5.5,,,
780,Purple-banded Sunbird,Cinnyris bifasciatus,7,11,52.9,1,Pair,nectar,1,0,1,0,0,1,5,1.8,16.2,11.1,,,,0,0,0,0,8.5,,,
787,White-bellied Sunbird,Cinnyris talatala,7.5,11,52.4,1,Pair,nectar,1,0,1,0,0,0.2,3,2,16.1,11.4,13.5,14.5,14,0,0,0,0,15.5,,1,
789,Grey Sunbird,Cyanomitra veroxii,13,14.5,64.5,1,Pair,nectar,0,0,1,0,0,1.2,5,2.2,17.9,12.5,,,,0,0,0,0,5.5,,,
790,Olive Sunbird,Cyanomitra olivacea,11.5,15,60.5,1,Pair,nectar,0,0,1,0,0,0.5,4.5,2,18.5,12.8,14.5,14.5,,0,0,0,0,13.3,,,
791,Scarlet-chested Sunbird,Chalcomitra senegalensis,13.6,14,68.2,1,Pair,nectar,0,0,1,0,0,1.5,9,2,19.2,13.2,14,17.5,38.5,0,0,0,0,11,,1,
792,Amethyst Sunbird,Chalcomitra amethystina,15,14.5,67.2,1,Pair,nectar,1,0,1,0,0,2,6,1.8,19.3,12.9,15.5,16.5,7,0,0,0,0,10.3,,1,
796,Cape White-eye,Zosterops virens,11,12,62,1,Pair,invertebrates,1,0,1,0,0,1,6,3,16.8,12.3,11,12.5,,0,0,0,0,12.7,0.65,,
801,House Sparrow,Passer domesticus,26,14.5,73.8,1,Pair,seeds,0,1,0,0,0,,,3.7,21.5,15.2,12.5,17.6,21,0,0,0,0,23,,1,
804,Southern Grey-headed Sparrow,Passer diffusus,24,15,78.5,1,Pair,seeds,0,1,0,0,0,,,3.5,19.2,14.3,12.5,17,34,0,0,0,0,5.5,,1,
805,Yellow-throated Petronia,Petronia superciliaris,24,16,88.4,1,Pair,invertebrates,0,1,0,0,0,1.5,6,3.1,18.7,14.2,15.3,18,21,0,0,0,0,9.5,,,
807,Thick-billed Weaver,Amblyospiza albifrons,56,18,87.9,1,Polyg,seeds,0,0,0,0,1,,,3.1,23.6,16.2,15,20.5,,0,0,0,0,8.4,,,
